Material,Material Description,Location,Limitations
101-384004-13,BLOWER ASSY-CONDENSER,Madison,
101-384004-5,BLOWER ASSY-CONDSR,Madison,
101-384004-9,BLOWER ASSY-CONDENSER,Madison,
101-384025-23,WINDSHIELD LH KING AIR / C12,Madison,
101-384025-24,WINDSHIELD RH KING AIR / C12,Madison,
101-384028-1,SWITCH BAROMETRIC,Madison,
101-384028-13,SWITCH BAROMETRIC,Madison,
101-384028-23,SWITCH BAROMETRIC,Madison,
101-384028-25,"SWITCH,PRESSURE,BAROMETRIC",Madison,
101-384028-29,SWITCH BAROMETRIC,Madison,
101-384028-35,SWITCH ASSY -  BAROMETRIC PRESSURE,Madison,
101-384028-41,"SWITCH,BAROMETRIC PRESSURE",Madison,
101-384028-43,SWITCH BAROMETRIC,Madison,
101-384028-45,SWITCH ASSY-BAROMETRIC PRESSURE,Madison,
101-384028-47,SWITCH ASSY - BAROMETRIC PRESSURE,Madison,
101-384028-7,"SWITCH ASSY,BAROMETER PRESS",Madison,
101-384034-1,"SWITCH,PRESSURE-OXYGEN GEN",Madison,
101-384081-3,"SWITCH, PRESSURE",Madison,
101-384081-5,"SWITCH, PRESSURE",Madison,
101-384106-9,"INDICATOR, D.C. VOLTMETER",Madison,
101-384119-1,SWITCH ASSY,Madison,
101-384133-0003,SUCTION GAUGE,Madison,
101-384135-3,"BLOWER, AFT EVAPORATOR",Madison,
101-384137-7,SWITCH ASSY,Madison,
101-384150-7,IND/FUEL,Madison,
101-384176-1,VENT BLOWER,Madison,
101-384176-3,FORWARD BLOWER ASSY,Madison,
101-384177-9,"CONTROLLER ASSY,MOTOR SPEED-FWD EVAPORAT",Madison,
101-384189-3,INDICATOR FUEL QTY,Madison,
101-384189-5,"INDICATOR,FUEL QTY",Madison,
101-384233-1,"INDICATOR-VOLT AND AMMETER,28VDC",Madison,
101-388014-15,"CYLINDER ASSY-MLG, RETRACT ACTUATOR",Madison,
101-388014-19,"CYLINDER ASSY-MLG, RETRACT ACTUATOR",Madison,
101-389007-1,STARTER GENERATOR,Madison,
101-4025-1 S,"KIT-INCONEL WING BOLT INSTL,UPR FWD",Madison,
101-4026-3 S,"KIT-INCONEL WING BOLT INSTL,AFT",Madison,
101-4083-3,"KIT-ATTACH BOLT,WING,LWR FWD",Madison,
101-410095-29,RADOME ASSY-RADOME INSTL,Madison,
101-430142-603,DOOR STRUCTURE ASSY-AIRSTAIR,Madison,
10-1447-1,EXIT SIGN(LENS)S/N,Madison,
101-521016-1,"ACTUATOR ASSY-FLAP,INBD",Madison,
101-521016-2,"ACTUATOR ASSY-FLAP,INBD",Madison,
101-521039-1,ACTUATOR ASSY-AILERON TRIM TAB,Madison,
101-524036-605,ACTUATOR ASSY-ELEVATOR TRIM CONTROL,Madison,
101-524072-1,ACTUATOR ASSY-ELEV TRIM TAB,Madison,
101-530160-5,"COMPASS ASSY,STANDBY",Madison,
101-530508-13,"COMPASS, STANDBY",Madison,
101-550087-19,"VALVE ASSY-BYPASS,ENVIRNMT BLEED AIR",Madison,
101-550087-23,"VALVE ASSY-BYPASS,ENVIRNMT BLEED AIR",Madison,
101-550087-25,"VALVE ASSY-BYPASS,ENVIRNMT BLEED AIR",Madison,
101-550087-3,"VALVE ASSY-BYPASS,ENVIRNMT BLEED AIR",Madison,
101-570022-17,SWITCH ASSY-FIRE PROTECTION SYS TEST,Madison,
101-610000-14,TAB ASSY-ELEVATOR ASSY,Madison,
101-610000-191,"ELEVATOR  ASSY,LH",Madison,
101-610000-192,"ELEVATOR  ASSY,RH",Madison,
101-610000-605,"ELEVATOR  ASSY,LH",Madison,
101-610000-613,ELEVATOR ASSY,Madison,
101-610000-614,ELEVATOR ASSY,Madison,
101-610000-617,"ELEVATOR ASSY,LH",Madison,
101-610015-11,TIP - ELEVATOR ASSY,Madison,
101-630000-161,TAB ASSY-RUDDER ASSY,Madison,
101-630000-613,RUDDER ASSY W/TAB,Madison,
101-8001-47,WHEEL ASSY,Madison,
101-8001-49,"WHEEL AND TIRE ASSY, BALANCED",Madison,
101-8002-11,BRAKE PLATE SUB ASSY -  BACK,Madison,
101-8002-17,PRESSURE PLATE ASSY,Madison,
101-8002-19,"HOUSING,BRAKE",Madison,
101-8002-3,BRAKE ASSY,Madison,
101-8002-51,WHEEL ASSY,Madison,
101-8002-57,WHEEL ASSY-TUBELESS,Madison,
101-8026-1,"WHEEL AND TIRE ASSY, BALANCED - NLG",Madison,
101-8026-5,WHEEL ASSY,Madison,
101-810009-9,"MAIN LANDING GEAR ASSY,HIGH FLOTATION",Madison,
101-810011-1,"AXLE AND PISTON ASSY,DUAL WHEEL,MLG",Madison,
101-810011-3,"AXLE AND PISTON ASSY,DUAL WHEEL,MLG",Madison,
101-810011-601,"AXLE AND PISTON ASSY,DUAL WHEEL,MLG",Madison,
101-810023-5,TORQUE KNEE ASSY-DUAL WHEEL,Madison,
101-810023-7,TORQUE KNEE-DUAL WHEEL,Madison,
101-810031-3,TUBE-PISTON ASSY,Madison,
101-810032-1,"TORQUE KNEE ASSY, MLG",Madison,
101-810032-3,"TORQUE KNEE ASSY, MLG",Madison,
101-810032-5,"TORQUE KNEE, MLG",Madison,
101-810032-7,"TORQUE KNEE, MLG",Madison,
101-810033-13,"BRACE ASSY - MAIN GEAR, DUAL WHEEL",Madison,
101-810033-15,"BRACE,MLG",Madison,
101-810033-3,"BRACE-MAIN GEAR,DUAL WHEEL",Madison,
101-810033-5,"BRACE ASSY-MAIN GEAR,DUAL WHEEL",Madison,
101-810033-7,"BRACE-MAIN GEAR,DUAL WHEEL",Madison,
101-810043-3,"WHEEL AND TIRE ASSY-FLOTATION,MODEL 200",Madison,
101-810043-5,"WHEEL AND TIRE ASSY-FLOTATION,MODEL 200",Madison,
